journal,Publisher_abdc,ISSN,year_inception,FoR,abdc_ranking,year
The International Journal of Comparative Labour Law and Industrial Relations,Kluwer Law International ,"0952-617X	","1983	","180105	",B,2016
The International Journal of Digital Accounting Research,Rutgers University,"1577-8517	","2001	","1501	",C,2016
"The International Journal of Environmental, Cultural, Economic and Social Sustainability",Common Ground Publishing Pty Ltd,"1832-2077	","2004	","1503	",C,2016
The International Journal of Logistics Management,Emerald Group Publishing,"0957-4093	","1990	","1503	",A,2016
The International Journal of Management Education,Elsevier ,"1472-8117	","2000	","1503	",C,2016
The IUP Journal of Agricultural Economics,IUP Publications,"0973-2276	","2004	","1499	",C,2016
The IUP Journal of Applied Economics (previously ICFAI),IUP Publications,"0972-6861	","2002	","1402	",C,2016
The IUP Journal of Managerial Economics ,IUP Publications,"0972-9305	","2003	","1499	",C,2016
The IUP Journal of Monetary Economics (previously ICFAI),IUP Publications,"0972-9291	","2003	","1402	",C,2016
The IUP Journal of Public Finance,IUP Publications,"0972-9356	","2003	","1402	",C,2016
The Japanese Economy: translations and studies,Taylor & Francis Online,"1097-203X	","1972	","1402	",B,2016
The Journal of Accounting Case Research (discontinued),Captus University Publications,"1192-2621	","1992	","1501	",C,2016
The Journal of Alternative Investments,Institutional Investor Journals Group,"1520-3255	","1998	","1502	",B,2016
The Journal of Applied Behavioral Science,Sage Publications,"0021-8863	","1965	","1503	",B,2016
The Journal of Asset Management,Springer International Publishing,"1470-8272	","2000	","1502	",B,2016
The Journal of Business (Chicago) (discontinued),The University of Chicago Press,"0021-9398	","1922	","1503	",A*,2016
The Journal of Cost Analysis and Management,Taylor & Francis Online,"1541-1656	","1984	","1501	",C,2016
The Journal of Current Research in Global Business,Association for Global Business,"2167-5694	","1990	","1503	",C,2016
The Journal of Derivatives,Institutional Investor Journals Group,"1074-1240	","1993	","1502	",A,2016
The Journal of Development Effectiveness,Taylor & Francis Online,"1943-9342	","2009	","1402	",C,2016
The Journal of Econometric Study of Northeast Asia (JESNA),"Economic Research Institute for Northeast Asia Kitakyusyu: International Centre for the Study of East Asian Development, Niigata, Japan ","1880-6988	","1995	","1403	",C,2016
The Journal of Economic Education,Taylor & Francis Online,"0022-0485	","1969	","1402	",B,2016
The Journal of Economic History,Cambridge University Press,"0022-0507	","1941	","1402	",A*,2016
The Journal of Economic Inequality,Springer International Publishing,"1569-1721	","2003	","1402	",B,2016
The Journal of Finance,American Finance Association,"0022-1082	","1946	","1502	",A*,2016
The Journal of Fixed Income,Institutional Investor Journals Group,"1059-8596	","1991	","1502	",A,2016
The Journal of Futures Markets,"John Wiley & Sons, Inc. ","0270-7314	","1981	","1502	",A,2016
The Journal of Gambling Business and Economics,University of Buckingham Press,"1751-7990	","2007	","1402	",B,2016
The Journal of High Technology Management Research,Elsevier,"1047-8310	","1990	","1503	",C,2016
The Journal of Hospitality Financial Management,Taylor & Francis Online,"1091-3211	","1991	","1504	",C,2016
The Journal of Industrial Economics,"John Wiley & Sons, Inc.","0022-1821	","1952	","1402	",A,2016
The Journal of International Maritime Law,Lawtext Publishing,"1478-8586	","1994	","180125	",C,2016
The Journal of International Trade and Economic Development: an international and comparative review,Taylor & Francis Online,"0963-8199	","1992	","1402	",B,2016
The Journal of Law and Economics,University of Chicago Law School,"0022-2186	","1958	","1402	",A*,2016
"The Journal of Law, Economics & Policy",,"1553-4367	","2005	","180105	",B,2016
The Journal of Pacific Studies,University of South Pacific,"1011-3029	","1978	","1499	",C,2016
The Journal of Portfolio Management,Institutional Investor Journals Group,"0095-4918	","1975	","1502	",A,2016
The Journal of Prediction Markets,University of Buckingham Press,"1750-676X	","2007	","1402	",B,2016
The Journal of Private Equity,Institutional Investor Journals Group,"1096-5572	","1997	","1502	",C,2016
The Journal of Risk Finance,Emerald Group Publishing,"1526-5943	","2000	","1502	",C,2016
The Journal of Risk Model Validation,Risk Waters Group.,"1753-9579	","	","1502	",C,2016
The Journal of Structured Finance,Instutional Investor Journals Group,"1551-9783	","1995	","1502	",C,2016
The Journal of Theoretical Accounting Research,"Iona College, Hagan School of Business","1556-5106	","2005	","1501	",C,2016
The Journal of Trading,Institutional Investor Journals Group,"1559-3967	","2006	","1502	",C,2016
The Journal of Wealth Management,"Institutional Investor, Inc.","1534-7524	","1998	","1502	",B,2016
The Leadership Quarterly,Elsevier,"1048-9843	","1990	","1503	",A*,2016
The Learning Organization,Emerald Publishing,"0969-6474	","1994	","1503	",C,2016
The Marketing Review,,"1469-347X	","2000	","1505	",C,2016
The Milbank Quarterly,"John Wiley & Sons, Inc.","0887-378X	","1923	","1503	",B,2016
The Modern Law Review,"John Wiley & Sons, Inc.","0026-7961	","1937	","180105	",A*,2016
The North American Journal of Economics and Finance,Elsevier ,"1062-9408	","1988	","1402	",B,2016
The Pacific Review,Taylor & Francis Online,"0951-2748	","	","1503	",A,2016
The Quarterly Journal of Austrian Economics,Springer International Publishing,"1098-3708	","1987	","1402	",C,2016
The Quarterly Journal of Economics,MIT Press,"0033-5533	","1886	","1402	",A*,2016
The Review of Austrian Economics,Springer International Publishing,"0889-3047	","1986	","1402	",C,2016
The Review of Black Political Economy,Springer International Publishing,"0034-6446	","1970	","1402	",C,2016
The Review of Economic Studies,Oxford University Press ,"0034-6527	","1933	","1402	",A*,2016
The Review of Economics and Statistics,The MIT Press,"0034-6535	","1917	","1402	",A*,2016
The Review of Financial Studies,Oxford University Press ,"0893-9454	","1988	","1502	",A*,2016
The Review of Network Economics,De Gruyter,"1446-9022	","2002	","1402	",B,2016
The Rutgers Business Law Journal,Rutgers University ,"1937-0563	","2006	","180125	",C,2016
The Social Science Journal,Elsevier ,"0362-3319	","1963	","1503	",C,2016
The Sociological Review,"John Wiley & Sons, Inc.","0038-0261	","1908	","1503	",A,2016
The State and Local Tax Lawyer,American Bar Association,"1093-6785	","1996	","180125	",C,2016
The Sydney Law Review,Sydney Law School,"0082-0512	","1953	","180105	",A,2016
The Tax Lawyer,American Bar Association,"0040-005X	","1947	","180125	",B,2016
The TQM Journal,Emerald Group Publishing,"1754-2731	","1998	","1503	",B,2016
The UNE Law Journal,University of New England,"1449-2199	","2004	","180125	",C,2016
The World Bank Economic Review,Oxford University Press ,"0258-6770	","1986	","1402	",A,2016
The World Economy,"John Wiley & Sons, Inc.","0378-5920	","1968	","1402	",A,2016
The Yale Law Journal,"The Yale Law Journal Company, Inc.","0044-0094	","1891	","180105	",A*,2016
Theoretical and Applied Economics,General Association of Economists from Romania,"1841-8678	","1994	","1401	",C,2016
Theoretical Economics,The Econometric Society,"1933-6837	","2006	","1401	",A*,2016
Theoretical Economics Letters,Scientific Research Publishing Inc. ,"2162-2078	","2011	","1401	",B,2016
Theory and Decision: an international journal for multidisciplinary advances in decision sciences,Springer International Publishing,"0040-5833	","1970	","1401	",A,2016
Theory of Probability and its Applications,SIAM Publications Online ,"0040-585X	","1956	","104	",A,2016
"Theory, Culture and Society: explorations in critical social science",Sage Publications,"0263-2764	","1982	","1503	",A,2016
The†American Journal of Health Economics†,MIT Press,"2332-3493	","2015	","1402	",A,2016
Third Sector Review,Australia and New Zealand Third Sector Research Inc. (ANZTSR),"1323-9163	","1995	","1503	",B,2016
Third World Quarterly,Taylor & Francis Online,"0413-6597	","	","1503	",A,2016
Thunderbird International Business Review,"John Wiley & Sons, Inc.","1096-4762	","1959	","1503	",B,2016
Tijdschrift voor Economische en Sociale Geografie,"John Wiley & Sons, Inc.","0040-747X	","1910	","1402	",B,2016
Time and Society,Sage Publications,"0961-463X	","1992	","1503	",B,2016
Tort Law Review,Thomson Reuters,"1039-3285	","1993	","180105	",A,2016
Torts Law Journal,LexisNexis,"1038-5967	","1993	","180105	",A*,2016
Total Quality Management and Business Excellence,Taylor & Francis Online,"1478-3363	","1996	","1503	",C,2016
Tourism,Institute for Tourism,"1332-7461	","2000	","1506	",C,2016
Tourism Analysis,Cognizant Communication Corporation,"1083-5423	","1996	","1506	",A,2016
Tourism and Hospitality Research (formerly International Journal of Tourism and Hospitality Research: The Surrey Quarterly Review),Sage Publications,"1467-3584	","1999	","1506	",B,2016
Tourism Economics,Sage Publishing,"1354-8166	","1995	","1506	",A,2016
Tourism Geographies,Taylor & Francis Online,"1461-6688	","1999	","1506	",A,2016
Tourism in Marine Environments,Cognizant Communication Corporation,"1544-273X	","2004	","1506	",C,2016
Tourism Management,Elsevier ,"0261-5177	","1980	","1506	",A*,2016
Tourism Management Perspectives,Elsevier,"2211-9736	","2011	","1506	",B,2016
Tourism Planning & Development (Formerly Tourism and Hospitality Planning and Development) ,Taylor & Francis Online,"2156-8316	","2004	","1506	",B,2016
Tourism Recreation Research,Taylor & Francis Online,"0250-8281	","1976	","1506	",A,2016
Tourism Research Journal,Mahatma Gandhi University,"0972-7191	","	","1506	",C,2016
Tourism Review,Emerald Group Publishing,"1660-5373	","1946	","1506	",B,2016
Tourism Review International: an international journal,Cognizant Communication Corporation,"1544-2721	","1997	","1506	",C,2016
"Tourism, Culture and Communication",Cognizant Communication Corporation,"1098-304X	","1998	","1506	",C,2016
Tourismus Journal,Katholische Universit‰t Eichst‰tt Ingolstadt ,"1433-5948	","1997	","1506	",C,2016
Tourist Studies: an international journal,Sage Publications,"1468-7976	","2001	","1506	",B,2016
Training and Management Development Methods,Emerald Group Publishing,"0951-3507	","1987	","1503	",C,2016
Transfer: European review of labour and research,Sage Publications,"1024-2589	","1995	","1503	",C,2016
Transformations in Business and Economics,Vilnius University,"1648-4460	","	","1402	",C,2016
"Transforming Government: People, Process and Policy",Emerald Group Publishing Limited,"1750-6166	","	","806	",B,2016
Transition Studies Review,Springer International Publishing,"1614-4007	","2003	","1402	",C,2016
Transnational Corporations,United Nations Conference on Trade and Development,"1014-9562	","1976	","1503	",B,2016
Transport Engineering in Australia,Engineers Australia,"1324-1591	","1995	","1507	",C,2016
Transport Policy,Elsevier ,"0967-070X	","1993	","1507	",B,2016
Transport Reviews,Taylor & Francis Online,"0144-1647	","1981	","1507	",A,2016
Transportation,Springer International Publishing,"0049-4488	","1972	","1507	",A,2016
Transportation Journal,The Pennsylvania State University Press,"0041-1612	","	","1507	",B,2016
Transportation Law Journal,University of Denver College of Law ,"0049-450X	","1969	","1507	",C,2016
Transportation Letters,Taylor & Francis Online,"1942-7867	","	","1507	",B,2016
Transportation Planning and Technology,Taylor & Francis Online,"0308-1060	","1972	","1507	",B,2016
Transportation Research Part A: Policy and Practice,Elsevier ,"0965-8564	","1967	","1507	",A*,2016
Transportation Research Part B: Methodological,Elsevier ,"0191-2615	","1979	","1507	",A*,2016
Transportation Research Part C: Emerging Technologies,Elsevier ,"0968-090X	","1993	","1507	",A,2016
Transportation Research Part D: Transport and Environment,Elsevier ,"1361-9209	","1996	","1507	",A,2016
Transportation Research Part E: Logistics and Transportation Review,Elsevier ,"1366-5545	","1965	","1507	",A*,2016
Transportation Research Part F: Traffic Psychology and Behaviour,Elsevier ,"1369-8478	","	","1507	",A,2016
Transportation Research Record,National Academy of Sciences,"0361-1981	","1974	","1507	",B,2016
Transportation Science,The Institute for Operations Research and the Management Sciences (INFORMS),"0041-1655	","1967	","1507	",A,2016
Transportmetrica A: Transport Science (formerly Transportmetrica),,"2324-9935	","2005	","1507	",B,2016
Transportmetrica B,Taylor & Francis,"2168-0566	","2013	","1507	",B,2016
Travel and Tourism Analyst,Economist Publications,"0269-3755	","1987	","1506	",C,2016
Travel Behaviour and Society,Elsevier,"2214-367X 	","2014	","1506	",B,2016
Tulane Maritime Law Journal,Tulane University Law School ,"1048-3748	","1975	","180105	",A,2016
UCLA Pacific Basin Law Journal,University of California Press,"0884-0768	","1982	","180105	",B,2016
Universal Access in the Information Society,Springer International Publishing,"1615-5289	","2001	","806	",C,2016
University of Auckland Business Review,University of Auckland,"1174-9946	","1999	","1503	",C,2016
University of British Columbia Law Review,University of British Columbia,"0068-1849	","1949	","180105	",B,2016
University of Chicago Law Review,The University of Chicago Press,"0041-9494	","1933	","180105	",A*,2016
University of Miami Business Law Review,University of Miami ,"1047-2819	","1990	","180125	",C,2016
University of New South Wales Law Journal,University of New South Wales,"0313-0096	","1975	","180105	",A,2016
University of Pennsylvania Journal of Business and Employment Law,University of Pennsylvania Law School,"1940-8064	","1998	","180125	",C,2016
University of Queensland Law Journal,University of Queensland Press,"0083-4041	","1948	","180105	",B,2016
University of San Francisco Maritime Law Journal,University of San Francisco,"1061-3331	","1989	","180105	",B,2016
University of Tasmania Law Review,University of Tasmania,"0082-2108	","1958	","180105	",B,2016
University of Toronto Law Journal,University of Toronto Press,"0042-0220	","1935	","180105	",A,2016
University of Western Australia Law Review,The University of Western Australia ,"0042-0328	","1948	","180105	",B,2016
University of Western Sydney Law Review,University of Western Sydney,"1446-9294	","1997	","180125	",C,2016
UNLV Gaming Research and Review Journal,University of Nevada,"1535-7589	","1994	","1504	",B,2016
Urban Affairs Review,Sage Publications,"1078-0874	","1965	","1503	",B,2016
Urban Studies: an international journal for research in urban studies,Sage Publications,"0042-0980	","1964	","1503	",A*,2016
US Bureau of Labor Statistics: Monthly Labor Review,US Bureau of Labor Statistics,"0098-1818	","1915	","1599	",B,2016
Value in Health,Elsevier ,"1098-3015	","1998	","1499	",B,2016
Vanderbilt Journal of Transnational Law,Vanderbilt University,"0090-2594	","1967	","180105	",B,2016
Variance: advancing the science of risk,Casualty Actuarial Society,"1940-6444	","2007	","1503	",C,2016
Venture Capital: an international journal of entrepreneurial finance,Taylor & Francis Online,"1369-1066	","1999	","1502	",B,2016
Victoria University of Wellington Law Review,"Victoria University of Wellington, Law Faculty ","1171-042X	","1953	","180105	",B,2016
Vietnam's Socio-Economic Development,The Vietnam Institute of Economics,"0868-359X	","1995	","1402	",C,2016
Villanova Journal of Law and Investment Management,Villanova University,"1523-5513	","1999	","180125	",C,2016
Vindobona Journal of International Commercial Law and Arbitration,Moot Alumni Association,"1439-9741	","1998	","180125	",C,2016
VINE: The Journal of Information and Knowledge Management Systems,Emerald Group Publishing,"0305-5728	","1971	","806	",B,2016
Virginia Tax Review,Virginia Tax Review,"0735-9004	","1981	","180125	",A,2016
"Visitor Studies: theory, research, and practice",Taylor & Francis Online,"1064-5578	","1988	","1506	",A,2016
Voluntary Action,Institute for Volunteering Research,"1465-4067	","1998	","1503	",B,2016
Voluntas: International Journal of Voluntary and Non-Profit Organizations,Springer International Publishing,"0957-8765	","1990	","1503	",B,2016
Waikato Law Review,Waikato University,"1172-9597	","1993	","180125	",C,2016
"Washington Journal of Law, Technology & Arts (formerly Shidler Journal of Law, Commerce & Technology)",,"1547-0695	","2004	","180125	",C,2016
Water Resources Research,"John Wiley & Sons, Inc - AGU Publications","0043-1397	","1965	","1599	",A,2016
West European Politics,Taylor & Francis Online,"0140-2382	","1978	","1599	",B,2016
Western Economics Forum,Western Agricultural Economics Association,"1550-4980	","2002	","1402	",C,2016
Western Journal of Agricultural Economics,Western Agricultural Economics Association,"0162-1912	","1977	","1499	",C,2016
Western Journal of Communication,Taylor & Francis Online,"1057-0314	","1937	","1503	",C,2016
"Work & Stress: An international Journal of Work, Health and Organisations ",Taylor & Francis Online,"0267-8373	","1987	","1503	",A,2016
Work and Occupations: an international sociological journal,Sage Publications,"0730-8884	","1974	","1503	",A,2016
"Work Organisation, Labour and Globalisation",Analytica Publications,"1745-641X	","2006	","1503	",C,2016
"Work, Employment and Society",Sage Publications,"0950-0170	","1987	","1503	",A,2016
Working USA: the journal of labor and society,"John Wiley & Sons, Inc.","1089-7011	","1997	","1402	",C,2016
World Bank Research Observer,Oxford University Press ,"0257-3032	","1986	","1503	",B,2016
World Competition: Law and Economics Review,Kluwer Law International ,"1011-4548	","1976	","180125	",C,2016
World Development,Elsevier ,"0305-750X	","1931	","1402	",A,2016
World Economics: the journal of current economic analysis and policy,NTC Economic & Financial Publ.,"1468-1838	","2000	","1402	",B,2016
World Journal of Management and Economics,Rosetta Publications,"1819-8643	","2006	","1402	",C,2016
World Journal of VAT/GST,Hart Publishing,"2048-8432	","2012	","180125	",C,2016
World Leisure Journal,Taylor & Francis Online,"1607-8055	","1958	","1504	",B,2016
World Policy Journal,Duke University Press,"0740-2775	","1983	","1599	",C,2016
World Politics,Cambridge University Press,"0043-8871	","1948	","1599	",A,2016
"World Review of Entrepreneurship, Management and Sustainable Development",Inderscience Enterprises Ltd.,"1746-0573	","2005	","1503	",C,2016
"World Review of Science, Technology and Sustainable Development",Inderscience Enterprises Ltd.,"1741-2242	","2004	","1599	",C,2016
World Tax Journal,International Bureau of Fiscal Documentation,"1878-4917	","2009	","180125	",B,2016
World Trade Review,Cambridge University Press,"1474-7456	","2002	","1402	",C,2016
World Transport Policy and Practice,Eco-Logica Ltd,"1352-7614	","1994	","1507	",C,2016
World Wide Web: Internet and Web Information Systems,Springer International Publishing,"1386-145X	","	","806	",C,2016
Worldwide Hospitality and Tourism Themes,Emerald Group Publishing,"1755-4217	","2009	","1506	",C,2016
"Written Communication: an international quarterly of research, theory, and application",Sage Publications,"0741-0883	","1984	","1503	",B,2016
WSEAS Transactions on Business and Economics,World Scientific and Engineering Academy and Society,"1109-9526	","2004	","1503	",C,2016
Yale Journal on Regulation,Yale Journal on Regulation,"0741-9457	","1983	","180105	",B,2016
Young Consumers,Emerald Group Publishing,"1747-3616	","1999	","1505	",B,2016
Zagreb International Review of Economics and Business,University of Zagreb,"1331-5609	","1998	","1402	",C,2016
Academy of Management Journal,0001-4273,1948-0989,1958,1503,A*,2013
Academy of Management Learning and Education,1537-260X,1944-9585,2002,1503,A*,2013
Academy of Management Review,0363-7425,1930-3807,1976,1503,A*,2013
Accident Analysis and Prevention,0001-4575,1879-2057,1969,1507,A*,2013
"Accounting, Organizations and Society",0361-3682,1873-6289,1976,1501,A*,2013
ACM Transactions on Computer-Human Interaction,1073-0516,1557-7325,1994,0806,A*,2013
Administrative Science Quarterly,0001-8392,1930-3815,1956,1503,A*,2013
Advances in Experimental Social Psychology,0065-2601,1557-8410,1964,1503,A*,2013
American Economic Journal: Applied Economics,1945-7782,1945-7790,2009,1402,A*,2013
American Economic Journal: Economic Policy,1945-7731,1945-774x,2009,1402,A*,2013
American Economic Journal: Macroeconomics,1945-7707,1945-7715,2009,1402,A*,2013
American Economic Journal: Microeconomics,1945-7669,1945-7685,2009,1402,A*,2013
American Journal of Agricultural Economics,0002-9092,1467-8276,1919,1402,A*,2013
American Journal of International Law,0002-9300,0272-5037,1907,180105,A*,2013
American Journal of Political Science,0092-5853,1540-5907,1950,1599,A*,2013
American Journal of Public Health,0090-0036,1541-0048,1911,1503,A*,2013
American Journal of Sociology,0002-9602,1537-5390,1895,1503,A*,2013
American Political Science Review,0003-0554,1537-5943,1906,1599,A*,2013
American Psychologist,0003-066X,1935-990X,1946,1503,A*,2013
American Sociological Review,0003-1224,1939-8271,1936,1503,A*,2013
Annals of Applied Probability,1050-5164,,1991,0104,A*,2013
Annals of Applied Statistics,1932-6157,1941-7330,2007,0104,A*,2013
Annals of Probability,0091-1798,,1973,0104,A*,2013
Annals of Statistics,0090-5364,,1973,0104,A*,2013
Annals of Tourism Research,0160-7383,1873-7722,1973,1506,A*,2013
Annual Review of Psychology,0066-4308,1545-2085,1950,1503,A*,2013
Annual Review of Sociology,0360-0572,1545-2115,1975,1503,A*,2013
Auditing: A Journal of Practice and Theory,0278-0380,1558-7991,1981,1501,A*,2013
Automation in Construction,0926-5805,1872-7891,1992,1504,A*,2013
Biometrics,0006-341X,1541-0420,1945,0104,A*,2013
Biometrika,0006-3444,1464-3510,1901,0104,A*,2013
Biostatistics,1465-4644,1468-4357,2000,0104,A*,2013
Boston University Law Review,0006-8047,,1921,180105,A*,2013
British Journal of Industrial Relations: an international journal of employment relations,0007-1080,1467-8543,1963,1503,A*,2013
British Tax Review,0007-1870,,1956,180125,A*,2013
Cambridge Law Journal,0008-1973,1469-2139,1921,180105,A*,2013
Canadian Tax Journal,0008-5111,,1953,180125,A*,2013
Columbia Law Review,0010-1958,1945-2268,1901,180105,A*,2013
Commercial Law Journal,1833-9506,,2006,180105,A*,2013
Contemporary Accounting Research,0823-9150,1911-3846,1984,1501,A*,2013
Cornell Law Review,0010-8847,,1915,180105,A*,2013
Decision Sciences,0011-7315,1540-5915,1970,1503,A*,2013
Decision Support Systems,0167-9236,1873-5797,1985,0806,A*,2013
Econometric Theory,0266-4666,1469-4360,1985,1403,A*,2013
Econometrica,0012-9682,1468-0262,1933,1403,A*,2013
Economic Theory,0938-2259,1432-0479,1991,1401,A*,2013
Energy Economics,0140-9883,1873-6181,1979,1402,A*,2013
Entrepreneurship: Theory and Practice,1042-2587,1540-6520,1976,1503,A*,2013
Environment and Planning A,0308-518X,1472-3409,1969,1599,A*,2013
Environment and Planning B: planning and design,0265-8135,1472-3417,1969,1599,A*,2013
European Economic Review,0014-2921,1873-572X,1969,1402,A*,2013
European Journal of Information Systems,0960-085X,1476-9344,1991,0806,A*,2013
European Journal of Marketing,0309-0566,1758-7123,1967,1505,A*,2013
European Journal of Operational Research,0377-2217,1872-6860,1977,1503,A*,2013
Experimental Economics,1386-4157,1573-6938,1998,1402,A*,2013
Federal Law Review,0067-205X,,1964,180105,A*,2013
Foreign Affairs,0015-7120,1665-1707,1910,1599,A*,2013
Foreign Policy (Washington),0015-7228,1945-2276,1971,1599,A*,2013
Games and Economic Behavior,0899-8256,1090-2473,1989,1401,A*,2013
Gender and Society,0891-2432,1552-3977,1987,1503,A*,2013
Global Environmental Change,,,,1599,A*,2013
Harvard Law Review,0017-811X,,1887,180105,A*,2013
Health Economics,1057-9230,1099-1050,1992,1402,A*,2013
Human Relations,0018-7267,1741-282X,1947,1503,A*,2013
Human Resource Management (US),0090-4848,1099-050X,1961,1503,A*,2013
Industrial and Labor Relations Review,0019-7939,2162-271X,1947,1503,A*,2013
Industrial Marketing Management,0019-8501,1873-2062,1971,1505,A*,2013
Industrial Relations: a journal of economy and society,0019-8676,1468-232X,1961,1503,A*,2013
Information and Management,0378-7206,1872-7530,1968,0806,A*,2013
Information and Organization,1471-7727,1873-7919,1991,0806,A*,2013
Information Systems Journal,1350-1917,1365-2575,1991,0806,A*,2013
Information Systems Research,1047-7047,1526-5536,1990,0806,A*,2013
International Economic Review,0020-6598,1468-2354,1960,1402,A*,2013
International Journal of Hospitality Management,0278-4319,1873-4693,1982,1504,A*,2013
International Journal of Production Economics,0925-5273,0925-5273,1976,1503,A*,2013
International Journal of Research in Marketing,0167-8116,,1984,1505,A*,2013
Journal of Accounting and Economics,0165-4101,,1979,1501,A*,2013
Journal of Accounting Research,0021-8456,1475-679X,1963,1501,A*,2013
Journal of Applied Econometrics,0883-7252,1099-1255,1986,1403,A*,2013
Journal of Applied Psychology,0021-9010,1939-1854,1917,1503,A*,2013
Journal of Banking and Finance,0378-4266,1872-6372,1977,1502,A*,2013
Journal of Business and Economic Statistics,0735-0015,1537-2707,1983,1403,A*,2013
Journal of Business Venturing,0883-9026,1873-2003,1985,1503,A*,2013
Journal of Computational and Graphical Statistics,1061-8600,1537-2715,1992,0104,A*,2013
Journal of Conflict Resolution: research on war and peace between and within nations,0022-0027,1552-8766,1957,1503,A*,2013
Journal of Construction Engineering and Management,0733-9364,1943-7862,1873,1504,A*,2013
Journal of Consumer Research,0093-5301,1537-5277,1974,1505,A*,2013
Journal of Contract Law,1030-7230,,1988,180105,A*,2013
Journal of Corporate Finance,0929-1199,1872-6313,1994,1502,A*,2013
Journal of Development Economics,0304-3878,1872-6089,1974,1402,A*,2013
Journal of Econometrics,0304-4076,1872-6895,1973,1403,A*,2013
Journal of Economic Behavior and Organization,0167-2681,,1980,1402,A*,2013
Journal of Economic Dynamics and Control,0165-1889,,1979,1402,A*,2013
Journal of Economic Growth,1381-4338,1573-7020,1996,1402,A*,2013
Journal of Economic Literature,0022-0515,,1963,1402,A*,2013
Journal of Economic Perspectives,0895-3309,1944-7965,1987,1402,A*,2013
Journal of Economic Theory,0022-0531,1095-7235,1969,1401,A*,2013
Journal of Environmental Economics and Management,0095-0696,1096-0449,1975,1402,A*,2013
Journal of Experimental Psychology: general,0096-3445,1939-2222,1916,1503,A*,2013
Journal of Experimental Psychology: human perception and performance,0096-1523,1939-1277,1916,1503,A*,2013
"Journal of Experimental Psychology: learning, memory, and cognition",0278-7393,1939-1285,1916,1503,A*,2013
Journal of Financial and Quantitative Analysis,0022-1090,1756-6916,1966,1502,A*,2013
Journal of Financial Economics,0304-405X,,1974,1502,A*,2013
Journal of Financial Intermediation,1042-9573,1096-0473,1990,1502,A*,2013
Journal of Financial Markets,1386-4181,,1998,1502,A*,2013
Journal of Health Economics,0167-6296,,1982,1402,A*,2013
"Journal of Human Resources: education, manpower and welfare economics",0022-166X,1548-8004,1966,1402,A*,2013
Journal of Information Technology,0268-3962,1466-4437,1986,0806,A*,2013
Journal of International Business Studies,0047-2506,1478-6990,1970,1503,A*,2013
Journal of International Economics,0022-1996,1873-0353,1971,1402,A*,2013
Journal of Labor Economics,0734-306X,1537-5307,1983,1402,A*,2013
Journal of Management,0149-2063,1557-1211,1975,1503,A*,2013
Journal of Management Information Systems,0742-1222,1557-928X,1984,0806,A*,2013
Journal of Management Studies,0022-2380,1467-6486,1964,1503,A*,2013
Journal of Marketing,0022-2429,1547-7185,1936,1505,A*,2013
Journal of Marketing Research,0022-2437,1547-7193,1964,1505,A*,2013
Journal of Monetary Economics,0304-3932,1873-1295,1975,1402,A*,2013
"Journal of Money, Credit and Banking",0022-2879,1538-4616,1969,1402,A*,2013
Journal of Operations Management,0272-6963,1873-1317,1980,1503,A*,2013
Journal of Organizational Behavior,0894-3796,1099-1379,1979,1503,A*,2013
Journal of Personality and Social Psychology,0022-3514,1939-1315,1965,1503,A*,2013
Journal of Political Economy,0022-3808,1537-534X,1892,1402,A*,2013
Journal of Product Innovation Management,0737-6782,1540-5885,1984,1503,A*,2013
Journal of Public Economics,0047-2727,,1972,1402,A*,2013
Journal of Retailing,0022-4359,1873-3271,1925,1505,A*,2013
Journal of Service Research,1094-6705,1552-7379,1998,1505,A*,2013
Journal of Sport Management,0888-4773,1543-270X,1987,1504,A*,2013
Journal of Strategic Information Systems,,,,0806,A*,2013
Journal of Sustainable Tourism,0966-9582,1747-7646,1993,1506,A*,2013
Journal of the Academy of Marketing Science,0092-0703,1552-7824,1973,1505,A*,2013
Journal of the American Society for Information Science and Technology,,,,0806,A*,2013
Journal of the American Statistical Association,0162-1459,1537-274X,1888,0104,A*,2013
Journal of the Association for Information Systems,1536-9323,1558-3457,2000,0806,A*,2013
Journal of the European Economic Association,1542-4766,1542-4774,2003,1402,A*,2013
Journal of the Royal Statistical Society Series B: Statistical Methodology,1369-7412,1467-9868,1934,0104,A*,2013
Journal of Travel Research,0047-2875,1552-6763,1962,1506,A*,2013
Journal of Urban Economics,0094-1190,1095-9068,1974,1402,A*,2013
Journal of Vocational Behavior,0001-8791,1095-9084,1989,1503,A*,2013
Law Quarterly Review,0023-933X,,1885,180105,A*,2013
Management Accounting Research,1044-5005,1096-1224,1990,1501,A*,2013
Management Science,0025-1909,1526-5501,1954,1503,A*,2013
Marketing Science,0732-2399,1526-548X,1982,1505,A*,2013
MIS Quarterly,0276-7783,,1977,0806,A*,2013
Omega,0305-0483,1873-5274,1973,1503,A*,2013
Operations Research,0030-364X,1526-5463,1952,1503,A*,2013
Organization Science,1047-7039,1526-5455,1990,1503,A*,2013
Organization Studies,0170-8406,1741-3044,1980,1503,A*,2013
Organizational Behavior and Human Decision Processes,0749-5978,1095-9920,1966,1503,A*,2013
Organizational Research Methods,1094-4281,1552-7425,1998,1503,A*,2013
Oxford University Commonwealth Law Journal,1472-9342,1757-8469,2001,180105,A*,2013
Personality and Social Psychology Bulletin,0146-1672,1552-7433,1975,1503,A*,2013
Personality and Social Psychology Review,1088-8683,1532-7957,1997,1503,A*,2013
